Date,Open,High,Low,Close,Adj Close,Volume
1985-01-02,2.242188,2.250000,2.218750,2.226563,0.936863,3361600
1985-01-03,2.226563,2.257813,2.195313,2.195313,0.923715,5819200
1985-01-04,2.203125,2.234375,2.195313,2.234375,0.940150,3787200
1985-01-07,2.242188,2.250000,2.234375,2.234375,0.940150,2508800
1985-01-08,2.242188,2.296875,2.242188,2.257813,0.950012,5800000
1985-01-09,2.257813,2.296875,2.257813,2.281250,0.959874,4145600
1985-01-10,2.289063,2.351563,2.281250,2.351563,0.989459,10144000
1985-01-11,2.351563,2.367188,2.320313,2.320313,0.976311,5044800
1985-01-14,2.296875,2.367188,2.296875,2.359375,0.992746,9147200
1985-01-15,2.359375,2.359375,2.312500,2.343750,0.986172,6008000
1985-01-16,2.351563,2.351563,2.296875,2.335938,0.982885,5827200
1985-01-17,2.335938,2.343750,2.304688,2.328125,0.979597,3030400
1985-01-18,2.343750,2.343750,2.312500,2.328125,0.979597,4297600
1985-01-21,2.312500,2.367188,2.312500,2.367188,0.996034,10614400
1985-01-22,2.367188,2.375000,2.335938,2.343750,0.986172,9617600
1985-01-23,2.351563,2.375000,2.320313,2.375000,0.999320,6422400
1985-01-24,2.367188,2.390625,2.320313,2.335938,0.982885,7179200
1985-01-25,2.335938,2.351563,2.304688,2.304688,0.969736,7033600
1985-01-28,2.312500,2.359375,2.304688,2.335938,0.982885,7315200
1985-01-29,2.343750,2.375000,2.335938,2.375000,0.999320,5649600
1985-01-30,2.382813,2.421875,2.375000,2.421875,1.019045,10435200
1985-01-31,2.414063,2.453125,2.382813,2.437500,1.025618,7913600
1985-02-01,2.390625,2.414063,2.375000,2.390625,1.005894,6368000
1985-02-04,2.367188,2.390625,2.359375,2.375000,0.999320,5560000
1985-02-05,2.390625,2.406250,2.367188,2.390625,1.005894,7856000
1985-02-06,2.382813,2.398438,2.335938,2.343750,0.986172,4124800
1985-02-07,2.343750,2.390625,2.335938,2.390625,1.005894,5945600
1985-02-08,2.375000,2.398438,2.367188,2.398438,1.009182,4222400
1985-02-11,2.398438,2.398438,2.375000,2.390625,1.005894,3539200
1985-02-12,2.382813,2.429688,2.382813,2.421875,1.019045,5848000
1985-02-13,2.390625,2.468750,2.390625,2.453125,1.032194,7492800
1985-02-14,2.468750,2.507813,2.453125,2.476563,1.042055,13444800
1985-02-15,2.406250,2.437500,2.398438,2.406250,1.020193,9577600
1985-02-19,2.390625,2.437500,2.390625,2.414063,1.023506,3278400
1985-02-20,2.398438,2.429688,2.390625,2.414063,1.023506,9198400
1985-02-21,2.390625,2.406250,2.343750,2.343750,0.993695,5355200
1985-02-22,2.343750,2.351563,2.312500,2.335938,0.990382,8356800
1985-02-25,2.312500,2.375000,2.312500,2.375000,1.006944,3918400
1985-02-26,2.375000,2.421875,2.375000,2.421875,1.026818,10342400
1985-02-27,2.437500,2.476563,2.437500,2.460938,1.043380,11265600
1985-02-28,2.445313,2.476563,2.445313,2.460938,1.043380,5324800
1985-03-01,2.437500,2.515625,2.437500,2.500000,1.059941,9550400
1985-03-04,2.500000,2.500000,2.453125,2.476563,1.050004,3145600
1985-03-05,2.468750,2.476563,2.429688,2.453125,1.040068,7289600
1985-03-06,2.460938,2.484375,2.429688,2.437500,1.033442,5600000
1985-03-07,2.437500,2.460938,2.437500,2.445313,1.036755,4670400
1985-03-08,2.437500,2.460938,2.421875,2.429688,1.030131,5534400
1985-03-11,2.421875,2.460938,2.421875,2.437500,1.033442,4608000
1985-03-12,2.429688,2.460938,2.421875,2.460938,1.043380,4254400
1985-03-13,2.460938,2.484375,2.437500,2.460938,1.043380,12049600
1985-03-14,2.453125,2.468750,2.437500,2.453125,1.040068,6024000
1985-03-15,2.437500,2.476563,2.437500,2.453125,1.040068,6444800
1985-03-18,2.429688,2.468750,2.429688,2.453125,1.040068,6438400
1985-03-19,2.476563,2.507813,2.460938,2.500000,1.059941,7217600
1985-03-20,2.500000,2.531250,2.484375,2.507813,1.063254,14352000
1985-03-21,2.515625,2.531250,2.507813,2.515625,1.066566,6414400
1985-03-22,2.500000,2.515625,2.476563,2.484375,1.053317,6604800
1985-03-25,2.476563,2.492188,2.460938,2.476563,1.050004,4844800
1985-03-26,2.484375,2.531250,2.484375,2.515625,1.066566,4532800
1985-03-27,2.515625,2.570313,2.515625,2.554688,1.083127,7801600
1985-03-28,2.554688,2.562500,2.531250,2.546875,1.079816,10641600
1985-03-29,2.570313,2.632813,2.562500,2.625000,1.112939,11972800
1985-04-01,2.609375,2.625000,2.578125,2.585938,1.096377,7411200
1985-04-02,2.609375,2.609375,2.523438,2.539063,1.076503,7593600
1985-04-03,2.554688,2.562500,2.523438,2.554688,1.083127,6662400
1985-04-04,2.554688,2.593750,2.539063,2.593750,1.099689,6491200
1985-04-08,2.593750,2.593750,2.531250,2.539063,1.076503,4372800
1985-04-09,2.539063,2.562500,2.531250,2.546875,1.079816,4131200
1985-04-10,2.546875,2.578125,2.546875,2.570313,1.089752,10089600
1985-04-11,2.585938,2.593750,2.546875,2.562500,1.086440,4971200
1985-04-12,2.570313,2.570313,2.539063,2.562500,1.086440,5296000
1985-04-15,2.578125,2.593750,2.562500,2.570313,1.089752,5267200
1985-04-16,2.585938,2.601563,2.570313,2.585938,1.096377,7641600
1985-04-17,2.585938,2.617188,2.585938,2.609375,1.106313,6956800
1985-04-18,2.601563,2.617188,2.585938,2.601563,1.103001,6776000
1985-04-19,2.585938,2.601563,2.578125,2.578125,1.093065,8052800
1985-04-22,2.585938,2.593750,2.570313,2.585938,1.096377,10212800
1985-04-23,2.585938,2.718750,2.578125,2.718750,1.152685,26288000
1985-04-24,2.750000,2.789063,2.742188,2.789063,1.182497,27408000
1985-04-25,2.773438,2.796875,2.734375,2.750000,1.165935,10390400
1985-04-26,2.765625,2.765625,2.718750,2.726563,1.155998,5977600
1985-04-29,2.734375,2.757813,2.726563,2.734375,1.159311,5564800
1985-04-30,2.734375,2.773438,2.703125,2.742188,1.162623,6036800
1985-05-01,2.726563,2.750000,2.679688,2.687500,1.139437,6233600
1985-05-02,2.687500,2.726563,2.687500,2.718750,1.152685,5958400
1985-05-03,2.734375,2.781250,2.734375,2.781250,1.179185,6265600
1985-05-06,2.781250,2.820313,2.781250,2.796875,1.185810,7488000
1985-05-07,2.796875,2.812500,2.789063,2.804688,1.189122,4536000
1985-05-08,2.796875,2.820313,2.789063,2.812500,1.192434,4441600
1985-05-09,2.835938,2.875000,2.835938,2.867188,1.215620,7630400
1985-05-10,2.906250,2.929688,2.898438,2.906250,1.232182,10006400
1985-05-13,2.906250,2.921875,2.890625,2.906250,1.232182,3844800
1985-05-14,2.921875,2.945313,2.906250,2.921875,1.238806,9345600
1985-05-15,2.929688,2.937500,2.875000,2.890625,1.225557,6896000
1985-05-16,2.906250,2.906250,2.835938,2.890625,1.225557,5286400
1985-05-17,2.875000,2.906250,2.859375,2.859375,1.212307,6444800
1985-05-20,2.898438,2.960938,2.890625,2.953125,1.252056,12222400
1985-05-21,2.937500,2.960938,2.921875,2.937500,1.245431,10905600
1985-05-22,2.914063,2.929688,2.875000,2.929688,1.242119,8065600
1985-05-23,2.921875,2.937500,2.914063,2.929688,1.242119,2516800
1985-05-24,2.929688,2.929688,2.890625,2.929688,1.250792,2763200
1985-05-28,2.921875,2.953125,2.859375,2.882813,1.230779,4460800
1985-05-29,2.875000,2.898438,2.859375,2.882813,1.230779,2476800
1985-05-30,2.882813,2.921875,2.875000,2.921875,1.247455,2993600
1985-05-31,2.921875,2.953125,2.906250,2.937500,1.254126,5892800
1985-06-03,2.960938,2.992188,2.953125,2.992188,1.277475,8518400
1985-06-04,2.968750,2.992188,2.953125,2.968750,1.267468,6230400
1985-06-05,2.976563,2.992188,2.953125,2.968750,1.267468,4875200
1985-06-06,2.945313,2.992188,2.945313,2.992188,1.277475,4752000
1985-06-07,2.992188,2.992188,2.937500,2.937500,1.254126,4480000
1985-06-10,2.906250,2.929688,2.906250,2.921875,1.247455,3596800
1985-06-11,2.914063,2.921875,2.851563,2.882813,1.230779,5177600
1985-06-12,2.859375,2.859375,2.804688,2.843750,1.214102,6617600
1985-06-13,2.828125,2.859375,2.820313,2.835938,1.210766,6004800
1985-06-14,2.835938,2.851563,2.828125,2.843750,1.214102,3356800
1985-06-17,2.859375,2.906250,2.843750,2.898438,1.237450,5686400
1985-06-18,2.921875,2.929688,2.914063,2.921875,1.247455,6787200
1985-06-19,2.937500,2.953125,2.921875,2.929688,1.250792,8161600
1985-06-20,2.929688,2.953125,2.898438,2.921875,1.247455,4675200
1985-06-21,2.921875,2.953125,2.890625,2.929688,1.250792,10924800
1985-06-24,2.921875,2.953125,2.921875,2.953125,1.260798,3934400
1985-06-25,2.921875,2.929688,2.882813,2.890625,1.234114,6764800
